Summary,Sentiment
delivered fast worthy quality good finally good product happy,positive
nice product wife happy,positive
good,positive
beautiful furniture sturdy packaging doubt two hanging screws small lift big weighty frame years,positive
good camera,positive
juicer mixture powerful motor crushing easily rotation rotorsimply suggest buying product invest ever money give back performance thank prestige build type product thank much flipkart give product within days dont think product buyand give also year warranty card big advantage consumer,positive
okay okay,positive
good product,positive
first time got broken product thanks flipkartthey replaced,positive
wow nice product looking normal tv smart led tv happy product,positive
nice,positive
good quality,positive
excellent chimney,positive
gb,positive
good quality,positive
nice,positive
good every aspects,positive
looking nice best product thnk filipcard,positive
genuine product happy user highly recommended cheaper market happy flipkart service got days,positive
nice smoothfor sure need wash use,positive
good product please also arrange parts article like blade attachment,positive
suction power good product quality superb price range product good affordable,positive
nice oil light head smelling great,positive
niceuse good material,positive
brands matter awesome product,positive
good,positive
simply superb worth buying,positive
good product,positive
nice,positive
nice router love,positive
bad good product,positive
good,positive
nice product,positive
love light nice,positive
nice quality,positive
nice product fast delivery thank flipkart,positive
excellent juicer easy clean use almost everyday really great carrots beetroots etc,positive
smell like cinnamon vanilla cigarette love soft perfume long lasting love,positive
good product,positive
good product good service,positive
good,positive
nice product,positive
super product,positive
comfortable,positive
nice range,positive
nice,positive
product nice,positive
one best chargethnq mi,positive
something bought father gift sound could better like previous generation bullets wireless z still better battery backup makes,positive
bad avarage,positive
oven worth price,positive
working fine past months,positive
speed good wellmade india,positive
good,positive
battery upto hour normal usageyoutube browsing settingdisplay smooth colors less every display nearly price point gaming laptopperformancegaming played gta high highdefault setting runs smoothly lags frame drop see slowness set top level quality nvidia experience centre instead optimal qualitytemperature omen centre peak showed around cpu around fo,positive
monster cleaner easy handle doesnt make noise use finish products want dishwasher safe dont fall crossselling tricks installation guys hand cheap vim kit additional amc,positive
quality good,positive
nice n stylishdisplay connectivity overall good smart watch must say value money product,positive
nice product value money,positive
good performance,positive
loved flipkart suggested buy next size current hipsize comfortable fit spot recommended everyone,positive
amazing,positive
cool,positive
good,positive
good product,positive
expected experience high graphics gaming degree celcius,positive
good product,positive
amazing tv got actually worth every penny picture quality ok buy good budget tv best price range,positive
product good buy thought,positive
nice black shoes looking perfect,positive
excellent,positive
gud,positive
ultimate product super fine cleaning n shining utensils yeah sheer truth exclusively made indian style utensils though difficult get salt detergent lockdown,positive
worth money,positive
super,positive
thats best product good seevice flipkart really happy buy product price world best trust since last years im always happy flipkart thank flipkart service team delivering installation,positive
good enough pricevery fast working,positive
nice,positive
good,positive
colour quality good,positive
super product,positive
super loved,positive
looks like company used cheap grade plastic doesbits job fine,positive
good product easily used good product quality good fine working overall great product,positive
super,positive
excellent experience,positive
excellent product,positive
super,positive
good behaviour delivery boy,positive
good quality,positive
awesome,positive
best best,positive
ok im happy,positive
nice im happy,positive
thank flipkart,positive
nce,positive
nice,positive
amazing deal urban terrain cycle comes accessories mentioned included reflectors well time delivery perfect installation top montha diet plan work wondersthe cycle light weight modern equipments installation technician polite explained everything could deal petty problems myselfanamika assigned dietician,positive
good,positive
nice,positive
geniuinly good book,positive
good product nice,positive
good,positive
water heater good water heats fast,positive
didnt expect much quality product thanks flipkart hundred percent recommended u need,positive
good product,positive
good product,positive
super quality,positive
nice product,positive
good price,positive
good,positive
worth,positive
super marq otg glad inform item excellence love pizza,positive
nice,positive
good,positive
sister happy classy,positive
awesome,positive
wow,positive
second butterfly rapid plus like design performance,positive
good product,positive
good partsuction powerprice economiceasy carryworks ordinary electric socketcan used car vacuum cleaner bad partwheels unstableheats fast continuous usecommon issue brands,positive
using last month result good decision right purchase company installation day purchase working silent enhance water test odur water storage capacity sufficient small family overall good product range value money go,positive
excellent standard,positive
love dinner set,positive
affordable good quality spacious easy operate good built quality,positive
osm cargo love,positive
superb best quality expense refiting ok,positive
good product working fine,positive
nice productbut delicate,positive
good charger bast cherger,positive
good,positive
good product low budget,positive
jst awesome,positive
looking awesome thanks flipkart,positive
exlandhappy,positive
nice,positive
good product handy clean dust,positive
really good product friend im happy product performance im gain kg one month,positive
good product,positive
good,positive
loved,positive
good bathroom,positive
good purchasevalue money build quality good,positive
thank srushti maam entire team wonderful book sure help lot throughout journey,positive
great product,positive
really nice one works well bought parents well satifisfiee way works,positive
value money,positive
good,positive
good,positive
nice,positive
nice,positive
good,positive
nice,positive
good,positive
best,positive
cool,positive
good,positive
nice,positive
delivery man good,positive
good one timely installation,positive
nice,positive
gb free storage working well tplink security camera,positive
nice,positive
nice product,positive
nice,positive
nice,positive
nyc product,positive
loved,positive
awsome camera satisfied,positive
awesome,positive
good,positive
good,positive
great wallet,positive
nice product electric kettle flipkart never disappoint always provide good product delivery keep,positive
awsm product quick installationthank flipkart jeeves,positive
superb quality usefull amazing product,positive
setting breeze silent gets job done ios app control little clunky,positive
nice,positive
good,positive
god price,positive
superb,positive
good,positive
nice product,positive
super useful product,positive
good product problem nowadays milton products imported china quality far better earlier past year declined lets see till vacuum work,positive
good product,positive
good pant iam suggesting go,positive
good product nice fitting happy product,positive
best product affordable price,positive
value money,positive
good guality thinks,positive
good quality diffuser lamp satisfied quality reasonable price segment,positive
purchased around rs found goodsound quality enough one price rangeactual size inch support inch space well due availability multiple holes fit properly door,positive
good quality,positive
price range birth flowers beautiful,positive
good product delivered time installed time kent little problem overflow installation guy solved courier boy innocent pleasant behaviour,positive
good efficient working product ro uv uf te fullfill requirementsonly ltr tank must buy brought flipkart also available flipkart,positive
thank,positive
nice product,positive
beautiful sandals,positive
awesome smell im using product along years,positive
nice little quantity,positive
best speaker long listening battery quality good use approx hour volume good beginners boat stone granite absolutely good bass sound want good battery backup hour volume,positive
good son liked,positive
good,positive
nice product,positive
currently reviewing product day usage accordingly update review months use year useproduct delivered proper condition wd external hard disk cableuser manual billhard disk working fine space total disk look fine professional postive things hard disk makes noise plugged led light glow low intensity makes good u,positive
good oil,positive
fabulous product super classy color loved thank flipkart,positive
good,positive
useful book,positive
nice product,positive
nice,positive
nice product good budget camera,positive
like much,positive
nice,positive
nice,positive
best chouse low budget,positive
good,positive
brought portronics amp qualcomm turbo car charger happy build quality sound bluetooth connectivity overall totally satisfied thanku flipkart,positive
google nest mini device extremely lazy music lovers works well youtube premium account coz collections gaana limited assistant respond sounds normal range times need higher level sound activate google assistant google could made support available indian regional languages would recommended best smart speaker price range also speaker loud,positive
good product,positive
nice product,positive
super,positive
nice great,positive
value money,positive
nice,positive
excellent,positive
nice quality,positive
metal body core threads processorrtx even gaving awesome resultsgrest support msi year refresh rateperformance surely powerhousegaving fps maxed csgoit running games released recently like mafia definitive edition marvels avengers high setting gaving around fps mean whats raytracing display better presume beautiful display even gaming laptop battey terr,positive
worth product,positive
goodnice fabric nice colour good fit thanks,positive
best ever life made clear bass sound light weight quality overall excellent best boat really iam impressed loved playing pubg easily able notify enemy sound gaming experience wonderful love boat rockerz,positive
nice products,positive
best laptop range,positive
super,positive
awesome,positive
excellent product also look good price also reasonable,positive
nice,positive
super,positive
somehow ram cou dont make better performance best go oneplus,positive
nice,positive
thanks good,positive
good quality products size fi,positive
booked dec delivered jan super speed delivery waiting installation engineer visited jan plug point little far away choosen place keep dishwasher suggested get extention cable amps plugand said visit us ready also pointed use water softener device liquid cost us extra avoid descaling lime accumulated dishwasher doubt whe,positive
ok good,positive
golu sonu super,positive
defective peace one day work,positive
elegant look,positive
hdd slim good looking tremendous speed copying material must buy,positive
good,positive
nice,positive
awesome product must buy thanks flipkart,positive
experience awesome great camera working good service also goodthank much,positive
nice,positive
nice,positive
working fine almost months,positive
good packing original product company sealed happy,positive
nice quality,positive
value money product,positive
good washing machine,positive
nice one,positive
product quality good price range much suitable using laptops using study table sturdiness enough slightly shaking writing overall good prblm sturdiness minor issue go itits worth,positive
working fine,positive
wow soo much beautiful like,positive
good products,positive
good,positive
nice like,positive
good quality nice product,positive
good product,positive
nice sounds,positive
value money,positive
product good outstanding bass sound love thanks flipkart thanks lot philips,positive
nice watch,positive
happy indian companies coming new innovative devices camera hero good addition existing list smart gadgets set routines device play prerecorded message case motion detected absence also like twoway talk feature sound quality really good app also quite user friendly never seen nice customeroriented app camera used cameras companies well c,positive
nice,positive
good quality,positive
nys,positive
would better ok product,positive
good quality product value money,positive
needless say obviously value moneyit boils water seconds one con wire little bit short,positive
must say fragrance good amazing makes day super energetic,positive
good,positive
good,positive
great watch,positive
nice headphonesuper base rocking stylem really impressed headphonebut main reason mike works properly calling receive end receive voice properly intrupt voice,positive
good,positive
good,positive
osm,positive
superb terrific purchase,positive
good,positive
good,positive
good costly,positive
best tab price range,positive
good product,positive
good,positive
superb speed,positive
keep pure leather,positive
nice doms kit good quality time delivered service good thanks flipkart,positive
long lasting perfume comes packed classy bottle price budget friendly fragrance worth falling would highly recommend trying,positive
much nice nd good quality much cheap according quality,positive
good product,positive
one best machines ever used noise heating performance think raised bar another level absolute delight value money,positive
nice look,positive
good product,positive
nice product,positive
nice products excellent delivery,positive
voltas beko dishwasher perfectly working modes cleans types materials perfectlyim much satisfied performance im writing review continues usepower consumption water consumption normal works well detergent best recommended finish crystale productsremoves tuff stains hardly spoiled vessels containers dishes,positive
good,positive
super wonderful,positive
nice bedside lamp multi color color changed tapping itthe material plastic looks premiumit operates battery using charger,positive
buy sound bar running big savings day boss lover exptation fulfilled awesome low budget sound bar love great job boat,positive
good product con keeps resetting engine start,positive
nice product hve excellent quality also fast delivery,positive
good product,positive
nice,positive
good,positive
good,positive
nice product,positive
good,positive
good,positive
excellent product,positive
super,positive
nice product,positive
good,positive
nice budget friendly otg,positive
awesome product looks nice u go quality wise super cloth thin thin u like,positive
good product comfortable low price,positive
nice product price needed filters nice meter display auto mode balances everything,positive
delivered one day hyderabad installed second day installation engineer good explained features also brought detergent demo also bought first batch salt detergent rinse aid himmachines build quality looks good test cycle mins good results update review couple months usagereview monthsstill going strong issues far cleans dishes well drying satisfactory salt rinseaid,positive
ok,positive
nice,positive
thank flipkart time purchase,positive
nice,positive
nice product,positive
good product,positive
good,positive
actually srushti college mate im excited read book,positive
nice product awesome colours,positive
amazing car kids nyc products,positive
good product nice,positive
good power bank long lasting battery paisa vasool,positive
good,positive
super,positive
well,positive
good small,positive
good,positive
super,positive
star item apple,positive
good product purchase everyonekam budget achi picture quality excellent soun,positive
thanks flipkart seller supercomnet fast safe delivery mac air mac air came standard flipkart carton box packing products packing outer box seal inner box plastic wrap intact device arrived brand new sealed packing post detailed review device month usual apple products shine mac air look sleek light weight beautiful screen sharp colourful speakers loud clear enough f,positive
good,positive
good,positive
good quality,positive
amazing product love good quality best buy rs flipcart packaging delivery perfect,positive
nice product,positive
value money,positive
thanku flipkart,positive
nice,positive
product nice,positive
nice soft,positive
love oud perfume best guys fragrance gives u mixture sandalwood caramel floral kind strong light moody fragrance actually gives vintage vibes rest packaging good gives luxurious vibesi sure looking something soothing pleasant fragrance best perfume stay hours recommend every must try oud perfume,positive
good product,positive
good awesome,positive
great,positive
performance inferior model build quality delicate compare budget concern buy latter models,positive
good product price,positive
google good product lack battery support camera supportso less used product,positive
good,positive
good aspects first use gives smell like u hospital days use good bathroom,positive
good stitching good,positive
nice,positive
good quality immersion rod design attractive seems durable heavy duty takes around minutes make liter bucket full water hot good product,positive
good product,positive
super little small foot,positive
good,positive
must buy nice product,positive
best router market,positive
good product,positive
exactly mentioned images satisfied quality size shape also service little high product good enough,positive
good,positive
small tilt front wheel fixable solution replace fork due problem cycle doesnt balance take hands handle riding cycle lose balance goes left thats issue face cycle within month use thankyou,positive
like,positive
looking greatnice bright colourvalue money,positive
nice one,positive
good quality,positive
really amazing,positive
nice product value money,positive
good,positive
good product price,positive
happy,positive
nice,positive
awesome product im happy deel product battery life good hours nonstop running music quality nice,positive
nice product,positive
ossam productgo,positive
nice,positive
nice,positive
everything needed nice product,positive
good,positive
lovely,positive
nice,positive
best deal ever,positive
genuine product cleaning vehicle also usefull gardening love thanks flipkart,positive
mast oven,positive
good product,positive
best aspected picture,positive
wonderful fragrance,positive
good,positive
per price good quality,positive
nice,positive
sound happy watch tv especially,positive
good,positive
good product,positive
nice oil help reducing hair fall,positive
watch better,positive
awesome productbest smart tv price ratepicture sound quality also good want play tube apps need good internet connectionim happy tv thanks flipkart,positive
nice,positive
fastest delivery extraordinary packaging looks premium smells premium,positive
good,positive
good one nothing exceptional,positive
excellent product,positive
nice,positive
amazing one value money,positive
thanks flipkart,positive
smoothgood product,positive
nice thanks,positive
cute pavan mi,positive
super product,positive
good quality,positive
nice products,positive
good,positive
good quality,positive
excellent product using since month issues faced far,positive
god hand working manual work,positive
good product,positive
nice,positive
good,positive
nyci likhe product also packaging thanxxx,positive
nice,positive
good,positive
happy,positive
days gone using showing constant speed speed good also makes noise,positive
nice,positive
worried going mixed reviews decided come keep love otherwise return bt really good packaged nicely every plate bowl undamaged,positive
good picture quality smart featuresbut operating manual provided,positive
good,positive
good product,positive
nice,positive
thanks flipkart fabulous fabulous product always given good product glad always like shopping flipkart wish always give good product giving service also good fast behaviour service boys also good friendly always done shopping app always get good response side also service customer helping sites also good,positive
excellent performance product material quality also good,positive
nice,positive
product good satisfied product zip problem,positive
v good,positive
good everyone age,positive
quality good delivery boy also good happy product go,positive
highly recommended kajal one favourite kajal list,positive
amazing product,positive
nice,positive
love,positive
superb product like,positive
good quality,positive
nice good,positive
vry nyc like,positive
good,positive
qualtay good,positive
good picture quality,positive
nice,positive
nice product water taste nice value money,positive
everything great attach pipe suction area force get weaks,positive
product india,positive
quality good small,positive
nice comfortable,positive
welli bought food processor mom replacement old inalsa maxie plus food processor gave long time service yearswell broken could fixed went ahead bought new food processorcame attachments good sturdy plastics used old maxie plus model difference new food processor body different looked sleek compactdoes functions like old maxie p,positive
amazing,positive
good product,positive
best geyser priceordered parents happy,positive
fine product,positive
good quality,positive
nice pic,positive
wow good product range better others free tv set top box really good product worth buy price one thing good set top box youtube access connected wifi,positive
easy use good quality,positive
excellent performance,positive
nice product every plates bowls fine broken suggest go product bcoz osm,positive
fabulous comfortable,positive
really helpful studying loved itvalue money doubt u buy table,positive
good job,positive
nice,positive
good,positive
nice product long lasting wrist band frnd,positive
super,positive
superb,positive
going well,positive
good quality fast delivery thanks flipkart,positive
dont like,positive
outstanding,positive
good,positive
amazing product almost makes everything,positive
nice ball happy service,positive
good product,positive
nyc product value money,positive
working best,positive
okay,positive
awesome one word,positive
unique offer secured delevery flipkart donated fan institution informed bajaj best,positive
quality good stiching good,positive
good,positive
awesome product,positive
nice,positive
good,positive
amazing product thnks flipkart,positive
gud one,positive
awesome product using since year,positive
super,positive
excellent,positive
nice,positive
good product,positive
good product satisfy,positive
best vaccum cleaner hand held item good sucktion motor also powerful bough cleaner deal pet cat hair really wonderful job cat hair lying around home go blindly,positive
good product,positive
good product,positive
nice product range quality awsome,positive
amazing,positive
super nice abdulla haji kadavathur,positive
tasty good definitely buy without doubt,positive
nice,positive
good collity shirt thank son happy,positive
good,positive
daughter loved product,positive
vry good,positive
nice product good quality,positive
really amazing,positive
nice,positive
best inverter,positive
good,positive
picture quality good sound quality good lack base speakers,positive
good,positive
nice product price,positive
good,positive
nice product,positive
compatible,positive
super products,positive
product goodthe quality cycle awesomethe brake tight good,positive
value money product,positive
fantastic,positive
good product,positive
good fabric,positive
nice one,positive
quality finish design outstanding con size little bit smaller side,positive
quality product expected considering price else working good,positive
nice,positive
excellent sound bass,positive
looks good product would know effectiveness efficiency usage,positive
good size expected,positive
awesome product samsung great,positive
good,positive
excellent,positive
awesome product,positive
super product nice work,positive
nice cutter,positive
best laptop lakh price rangedisplay excellent price battery outstandingthis probably best battery device performance best price range building quality best class nothing complainsoftware go without second thought unless need windows reason im pretty sure one easily outlast windows laptops,positive
good,positive
nice,positive
nice,positive
happy purchase,positive
worthy good product,positive
good product,positive
nice product,positive
product good,positive
good,positive
super,positive
go,positive
sewing machine awesome easy use provided picot foot product,positive
good,positive
good quality,positive
friend recommended camera gave try product hero group must say impressedi installed outdoors keep watch main doori like set zones filter unwanted alerts notifications set zone around home entrancealso night vision quite clear wide field viewthe installation easy found app user friendlythe device good looking made,positive
nyc product,positive
value money,positive
good technician persons good delivered yesterday installed today full review use,positive
got thought deal food processorthanks india offers flipkart great dealkeep updated offersaddicted shopping online deals india offers,positive
good,positive
nice product best price,positive
good satisfied purchase,positive
good,positive
good,positive
good,positive
good product plees buy,positive
unable link device nokia inch android tv google nest mini looks like firmware versions matching even showing update devices product good get update chromecast utilize nest mini completely due im unable control tv using google nest mini,positive
good product,positive
nice,positive
insulation good hot water gets cool short time,positive
ok h bro,positive
awesome,positive
worth price,positive
good product im year old thanks flipkart,positive
awesome,positive
perfect value money good taste,positive
nice,positive
excellent product,positive
nice,positive
think ordered got thank flipkart happy give five stars,positive
good,positive
best value money,positive
nice,positive
good one,positive
good,positive
super quality,positive
nice,positive
nice soo happy,positive
wow,positive
product looks good satisfied way works wait see durability overall worth buying,positive
product excellent,positive
good product get new update new features,positive
good,positive
good product,positive
good,positive
nice,positive
beautiful kapoor dani best replacement good knight,positive
good one,positive
nice sound quality u get feeling dolby atmos actually though u sit closed room u experience battery backup really superb got enough price,positive
nice product,positive
qualities best,positive
good quality,positive
good,positive
good,positive
good,positive
nyc productvalue money,positive
product good,positive
bad,positive
good,positive
nice,positive
nice,positive
good,positive
nice oven thankyou marq thankyou flipkart,positive
worth product,positive
good fragrance oil,positive
good,positive
price high product best orange juice juice thick tasty cleaning tough task,positive
price best market,positive
nice,positive
nice,positive
delivery time quality good,positive
super,positive
good onegives gb storage,positive
nice product delivery late,positive
nice,positive
truly awesome product best gift purpose,positive
bad,positive
value money thanks flipkart love,positive
nice,positive
bestone,positive
good,positive
supeb,positive
go good,positive
product quality good ordered different product flipkart delivered different model whatever delivered one also good,positive
quality good comes vaccum compressed packagingone cons cushion fluffy expectedbut good option price,positive
excellent quality,positive
super,positive
good speaker loud,positive
fantastic reasonably priced ipad loved thanks flipkart genuine product,positive
good product,positive
good grip also whole oval shape top making easy place korck direction,positive
good inverter premium look amazing working good,positive
super,positive
ultimate performance genuine product superfast delivery superfast installation two hours delivery love flipkart costomer support reliable online trading company thanks livpure dedicated genuine costomer support thanks seller omnitech retail five star team,positive
good,positive
using router two weeks working excellent without hanging issue many hours signal range good biggest advantage router ghz band channels supports almost devices without interfering neighbours band ghz giving mbps maximum lan speed tested ghz band supports limited devices anac wireless lan cards less coverage area strong signals ghz band due,positive
awesome,positive
loved product,positive
perfect,positive
one word amazing amazing,positive
nice,positive
good one price high product good,positive
first ios feel happy,positive
awesome,positive
nice product,positive
quality superb per price,positive
good products,positive
nice product,positive
good product,positive
nice,positive
tooo good,positive
good product nice service,positive
good product,positive
worth money,positive
good,positive
awesome,positive
amezing produced issy use quality also good according prise,positive
nice product,positive
exlent product,positive
good,positive
cheapest gigabit router available good buy worth rs router gets hot keep hours would recommend product people willing buy gigabit router low budget,positive
must buy,positive
superb,positive
good material also comfortable,positive
poco mi phone thinking new name new phone name changed functions present inside like mi phone redmi hadset good phonethanks flipkartthanks poco,positive
fantastic cooleri liked itit cools room effectively,positive
nice pics,positive
nice product daughter likes,positive
good,positive
good product,positive
elegant packing really good really loved product bought gift relative loved,positive
nice product,positive
good,positive
product fantastic good connectivity good sound like theater experienceneed connect home theaterit bluetooth thats purchased itotherwise thinking purchase vu thomson tv,positive
comfortable,positive
good product,positive
amazing product perfect foot ball easy curving knuckle ball trick nice quality hardly stiching budget football,positive
awesome yrrr,positive
nice product,positive
awesome product,positive
good table lean one laptop one monitor table sufficient space two dont use heavy objects lean,positive
impressive highly recommended,positive
amazing product value money,positive
good,positive
performing good,positive
awesome watch,positive
value moneytotally worthy,positive
good,positive
good product,positive
good quality loved,positive
good product,positive
thanks amazing product,positive
good product,positive
nice product,positive
excellent product super,positive
osm quality products,positive
nice clean,positive
nice,positive
nice product,positive
cool product,positive
nice product,positive
good product,positive
best product please order one sizer bigger healthy child,positive
like good,positive
best price range u switch earphones one take around days settle need carefull handling cze main frame plastic worth buying happy,positive
must buy tv price point,positive
good,positive
nice product,positive
nice product,positive
amazing product,positive
nice,positive
good bachuer room,positive
good,positive
happy product,positive
valua money product,positive
good product size small,positive
nice product,positive
laptop best laptop badgets rtx amd ryzen,positive
good buy worth money plug wire small issue,positive
good,positive
first time used google smart speaker extensively spent couple minutes aunts google home original one days little guy must say impressedthe packaging simple straight point inside came speaker round power cable quick start guide really like look feel device speaker round cover looks feels like clothlike material would surprised,positive
good one,positive
nice touch control volume loved product thanks flipkart,positive
works fine,positive
today found lint cutter great,positive
osm,positive
amazing,positive
bad averages quality,positive
amazing fast nice product go,positive
good,positive
good product,positive
satisfy work properlythx,positive
worty product,positive
good febric expected,positive
nice product,positive
good,positive
nice material good use,positive
good,positive
love product much,positive
good,positive
perfect drawing store kids,positive
heating issues therebut good buy use short time intervals,positive
good quality,positive
nice product,positive
nice products im happy,positive
seller good hp ink supplied genuine cartridge earlier using refilledink hp trail cartridge cause print quality getting deteriorated time finally cartridge disrecognized printer insert newly purchased cartridge hp printer hp deskjet ink advantage immediately recognized printquality back optimized drying quickly long lasting,positive
good product,positive
awesome beginners,positive
varry nice,positive
good size quality camphor,positive
nice product,positive
good,positive
got best deal go budget,positive
awesome best charger iphone,positive
best purchase,positive
super,positive
powerful laptop amazing processing speed,positive
good,positive
good product stages purification terms price installation product took fews days raised request flipkart would better request raisedhope livpure product works fine coming days,positive
liv pure pep pro really awesome filtration rate awesome built quality good best people,positive
awesome experience flipkart good quality product paisa vasool,positive
great,positive
using till today showing good product good quality,positive
thank fipkart super super good,positive
price nice good product,positive
fast delivery everything fine loved,positive
sweat shirt fabric quality good,positive
good product,positive
premium packing good look,positive
super,positive
awesome,positive
nice,positive
good performance,positive
nice,positive
best,positive
nice product,positive
super,positive
nice,positive
lowest price good product thank flipkart,positive
good productthanks,positive
thanks response,positive
nice product recommended purchase,positive
first plates broken maybe due shipping replacement good product one best plates might seem little small yeah thats fine update review months usage,positive
delivery time perfect product got delivered good condition,positive
good product,positive
fast delivery good product,positive
good one issue handle sturdy wise product good,positive
nice product,positive
awesome,positive
charging fast good product,positive
good product,positive
perfume nice smell,positive
good,positive
soft value money product,positive
product incredible,positive
nice,positive
everything else good material quality low month use top sheet appears bending laptop hand rests finishing packaging assembly good enought material quality improved average build person table top bending table definitely heavy build person,positive
go itvery nice,positive
medium fast charger,positive
good,positive
good easy use,positive
good,positive
first purchase ever purchased sewing machine appriciate product would like dedicate product life partner much impressed thanks singer thanks flipkart,positive
worth part work thru bluetooth thru connection line also boss effect good important battery backup amazing go im using time good one,positive
good books,positive
nice thank flip kart,positive
amazing product laging nw used dual channel mode ghz ghz also lagging worth thanks flipkart,positive
good product reasonable price compare android stereo available market recommend sond boss android stereo serching good product,positive
nice product,positive
nice product,positive
super,positive
amazing product price loved,positive
excellent product price,positive
nice,positive
experience good,positive
best cocoa powder best value money,positive
value money,positive
good product,positive
good product easy install value money,positive
good window well door quality cloth good heavy weight slightly transparent high light price good,positive
best power bank,positive
good product,positive
nice product,positive
nice products,positive
good,positive
easy install works fine old mac os like mac,positive
u want go good product,positive
good productupper portion light like lower portionnice looking grey colour,positive
nice,positive
nice tv superb quality verry fast delivery,positive
good,positive
nice product,positive
superr,positive
good,positive
good product,positive
good quality,positive
got amazing build quality works perfectly needgood part get tester extra pointed bit toogets heated fast efficiently,positive
good,positive
superb smell different fragrance goodmy favourite skai,positive
nice product great fabric print awesome goes nice traditional fittings,positive
good,positive
good product thanks flipkart,positive
good item money,positive
good product,positive
go,positive
good,positive
good,positive
charger fast charger good using six months really good,positive
nice dress,positive
good,positive
excellent product,positive
good,positive
nice,positive
good product,positive
good product,positive
working properly,positive
amazing,positive
budget worth yesterday delivered today installed navigation working fine reliability cant confirmed,positive
extreme next level bluetooth headphones really awesome recommend everyone bass lovers love headphones thank flipkart one best product list,positive
nice produced,positive
good,positive
best quality product,positive
expectations loved,positive
good product,positive
nice quality,positive
genuine products best price,positive
wonderful,positive
good productqulity good,positive
thx good product,positive
nice product,positive
picture quality wow,positive
nice,positive
nice tv worth amount wireless display breaks connection often need double network work single network single device,positive
super,positive
super,positive
excellent product,positive
really nice,positive
fantastic,positive
working properlylike cooler,positive
good,positive
good pooja essential,positive
happy,positive
delivery delivered estimated delivery dateproduct quality outstanding cost value moneypacking packing good review side shelves really small size ordered grey white white panel looking brand new suggestion please improve size side shelves white panel rapped cover easily get polluted installation team appreciated outstandin,positive
good quality,positive
perfect,positive
best product thank,positive
thanks flipkart delivering promised exact timely delivery genuineness guaranteed gifted sis happyness beyond words,positive
nice,positive
overall worth,positive
nice product,positive
good product price reasonable,positive
good product,positive
good,positive
chain button defective overall quality well good improve size,positive
super,positive
good,positive
amazing mic range listens command even spoken room support music streaming platforms including yt music,positive
good product,positive
good play often,positive
good,positive
vary good product,positive
pretty good product,positive
vry use product valuable money awesome great product,positive
product okay use easy maintainvery helpful product,positive
nyc book helpful preparing examination,positive
good product,positive
writing review first impressionoverall build quality good stainless steel jars top class overall look nice chutney jars plus point writing review unboxing lookwise unique classy build quality also good used much uptill good performance wellnote writing review unboxing performance read reviews well look build quality go itremoved one star,positive
good one,positive
look wear watch dress really good,positive
good medium sized room,positive
goodjust go,positive
bad,positive
naic,positive
doubt good product also light colour nice looking,positive
amazing product,positive
good,positive
fan look quality good wind delivery good speed fan normal fan buttons remote glow dark,positive
hellofirst need thank flipkart bringing product soon possible got date informed bat bat good stroke happy product must say price worth yonex always maintained quality thank guys,positive
nice,positive
nice product,positive
satisfied product,positive
amazing quality really love,positive
nice hai,positive
like product using,positive
best fan,positive
nice,positive
excellent tab video quality awesomeaudio dolby atmos speakers dolby atmos headphones extraordinaryperformance also good smooth battery long lastingfinal word must buy tab price,positive
good product good quality looking stunning hand happy,positive
liked child,positive
good producteasy useawesome,positive
great product control smart devices sound loud controls easy,positive
outstanding product,positive
nice,positive
bad ok,positive
nice looking,positive
good product love,positive
nice king,positive
awesome ball good grass concrete playwhite colour good easy see even dark rainy days got day thou wish could provided pin ball good ball bargained price,positive
good,positive
osamm,positive
cost good,positive
sooooper,positive
thanks flipkart best product according price,positive
nice product service packages good,positive
looks nice quality also good range torfin good deal,positive
good product,positive
nice,positive
wallet strong smooth,positive
perfect size fitting,positive
wow,positive
smart productand dust free airflow good speed low voltage high speed fan awesome brand candes,positive
good product,positive
nice,positive
good,positive
nyc sound good battery backup,positive
good product affordable price,positive
amazing,positive
nic work excel led color scroll lock button plz help,positive
great product fragnance perfume wow lasts longer even cloth wash pricing affordable best perfume ever used,positive
super watch,positive
average pant quality better,positive
good,positive
good,positive
received plants happy,positive
everthing good,positive
nice,positive
name enough,positive
good product,positive
read write speed good quality good price point flex case hd,positive
like product thank flipkartbut installation done flipkart,positive
tv working fine,positive
product good,positive
nice product thanks flipkart,positive
good company brand excellent rate fast deliver good,positive
nice,positive
good,positive
good,positive
good product thanks flipkart,positive
nice kit,positive
awesome product loved,positive
fabulous looking osm,positive
good ok,positive
good product worth money,positive
nice product friendly easy use,positive
beautiful,positive
good product best quality,positive
yes good,positive
ok ok product,positive
nice one reasonable price,positive
good product ease use functions go,positive
really good,positive
excellent tv valuable money,positive
nice product,positive
product nice good quality fabric brought big savings day sale december things get formal blazer bag cover blazer hanger go without making second choice,positive
future best,positive
nice,positive
good,positive
super cool,positive
good,positive
super se v uper,positive
superb curtains cloth quality also superb size exactly feet color shown figure thqq flipkart faster delivery,positive
good product,positive
got affordable price,positive
good,positive
love quality table one leg little wobbly,positive
absolute value moneywell bought product going reviews people put rating due bad service late installation process partially true decide give go bought first delivery got damage piece placed return request pick days wait another days get replaced dishwasher genuine time saver absolute value money easy operate,positive
good grill,positive
best product best price calling,positive
good speed good,positive
good fast useful daily use,positive
nice,positive
fine,positive
good quality products,positive
nice comfortable,positive
satisfied,positive
